Main_FPI,Related_FPI,Score,Direction,Necessity,Context_Usage,Extracted_Context_From_Related_FPI,Why_It_Is_Needed_For_Testcase_Generation,Confidence,Evidence,Feature_Path
DMS-7_DRIVER_GAZE_ESTIMATION,AUD-2_A2B_Network_2_configuration_via_diagnostics,-1,Upstream,Low,Constraint,General system context,Optional upstream dependency,Probable,Supporting context for DMS-7_DRIVER_GAZE_ESTIMATION testcase,SRS Export/SRS Export/SRS_Audio/AUD-2_A2B_Network_2_configuration_via_diagnostics/
DMS-7_DRIVER_GAZE_ESTIMATION,AVAS_1_AVAS_switch_off_speed_configuration_via_Diagnostics,-1,Upstream,Low,Constraint,General system context,Optional upstream dependency,Probable,Supporting context for DMS-7_DRIVER_GAZE_ESTIMATION testcase,SRS Export/SRS Export/SRS_Audio/AVAS_1_AVAS_switch_off_speed_configuration_via_Diagnostics/
DMS-7_DRIVER_GAZE_ESTIMATION,Diagnostics_Test_Tone_Generator,-1,Upstream,Low,Constraint,General system context,Optional upstream dependency,Probable,Supporting context for DMS-7_DRIVER_GAZE_ESTIMATION testcase,SRS Export/SRS Export/SRS_Audio/Diagnostics_Test_Tone_Generator/
DMS-7_DRIVER_GAZE_ESTIMATION,ESE-1_ESE_BEV_Management_Diagnostics,-1,Upstream,Low,Constraint,General system context,Optional upstream dependency,Probable,Supporting context for DMS-7_DRIVER_GAZE_ESTIMATION testcase,SRS Export/SRS Export/SRS_Audio/ESE-1_ESE_BEV_Management_Diagnostics/
DMS-7_DRIVER_GAZE_ESTIMATION,FAD-1_Calibration,-2,Upstream,High,"Setup, Activation",Calibration parameters and tolerances,High priority upstream dependency,Confirmed,Important for DMS-7_DRIVER_GAZE_ESTIMATION testcase activation,SRS Export/SRS Export/SRS_Audio/FAD-1_Calibration/
DMS-7_DRIVER_GAZE_ESTIMATION,FAD-2_Calibration,-2,Upstream,High,"Setup, Activation",Calibration parameters and tolerances,High priority upstream dependency,Confirmed,Important for DMS-7_DRIVER_GAZE_ESTIMATION testcase activation,SRS Export/SRS Export/SRS_Audio/FAD-2_Calibration/
DMS-7_DRIVER_GAZE_ESTIMATION,FAD-2 Calibration,-2,Upstream,High,"Setup, Activation",Calibration parameters and tolerances,High priority upstream dependency,Confirmed,Important for DMS-7_DRIVER_GAZE_ESTIMATION testcase activation,SRS Export/SRS Export/SRS_Audio/FAD-2 Calibration/
DMS-7_DRIVER_GAZE_ESTIMATION,FAD-4_Proxi_Parameters,-2,Upstream,High,"Setup, Activation",General system context,High priority upstream dependency,Confirmed,Important for DMS-7_DRIVER_GAZE_ESTIMATION testcase activation,SRS Export/SRS Export/SRS_Audio/FAD-4_Proxi_Parameters/
DMS-7_DRIVER_GAZE_ESTIMATION,FAD-7_Flat_Audio_Calibration,-2,Upstream,High,"Setup, Activation",Calibration parameters and tolerances,High priority upstream dependency,Confirmed,Important for DMS-7_DRIVER_GAZE_ESTIMATION testcase activation,SRS Export/SRS Export/SRS_Audio/FAD-7_Flat_Audio_Calibration/
DMS-7_DRIVER_GAZE_ESTIMATION,Speech_Dialog_and_Readout_Sources,1,Downstream,Low,FailureCheck,General gaze estimation context,Optional downstream dependency,Probable,Speech_Dialog_and_Readout_Sources testcase optionally uses DMS-7_DRIVER_GAZE_ESTIMATION context,SRS Export/SRS Export/SRS_Audio/Speech_Dialog_and_Readout_Sources/
DMS-7_DRIVER_GAZE_ESTIMATION,Engineering_Test_Parameters,-2,Upstream,High,"Setup, Activation",General system context,High priority upstream dependency,Confirmed,Important for DMS-7_DRIVER_GAZE_ESTIMATION testcase activation,SRS Export/SRS Export/SRS_Connectivity/Engineering_Test_Parameters/
DMS-7_DRIVER_GAZE_ESTIMATION,Power_Management,-3,Upstream,Critical,"Precondition, Setup",Power state and voltage requirements,Critical upstream dependency for testcase preconditions,Confirmed,Required for DMS-7_DRIVER_GAZE_ESTIMATION testcase setup,SRS Export/SRS Export/SRS_Connectivity/Power_Management/
DMS-7_DRIVER_GAZE_ESTIMATION,Quality_of_Service,1,Downstream,Low,FailureCheck,General gaze estimation context,Optional downstream dependency,Probable,Quality_of_Service testcase optionally uses DMS-7_DRIVER_GAZE_ESTIMATION context,SRS Export/SRS Export/SRS_Connectivity/Quality_of_Service/
DMS-7_DRIVER_GAZE_ESTIMATION,A2B_Network_1_-_Master_to_Sub_0_-_Defective_node_or_wrong_software_parameter_(0xD81094),-2,Upstream,High,"Setup, Activation",General system context,High priority upstream dependency,Confirmed,Important for DMS-7_DRIVER_GAZE_ESTIMATION testcase activation,SRS Export/SRS Export/SRS_Diagnostics/A2B_Network_1_-_Master_to_Sub_0_-_Defective_node_or_wrong_software_parameter_(0xD81094)/
DMS-7_DRIVER_GAZE_ESTIMATION,A2B_Network_1_-_Sub_0_to_Sub_1-_Defective_node_or_wrong_software_parameter_(0xD81494),-2,Upstream,High,"Setup, Activation",General system context,High priority upstream dependency,Confirmed,Important for DMS-7_DRIVER_GAZE_ESTIMATION testcase activation,SRS Export/SRS Export/SRS_Diagnostics/A2B_Network_1_-_Sub_0_to_Sub_1-_Defective_node_or_wrong_software_parameter_(0xD81494)/
DMS-7_DRIVER_GAZE_ESTIMATION,A2B_Network_2_-_Master_to_Sub_0_-_Defective_node_or_wrong_software_parameter_(0xD82094),-2,Upstream,High,"Setup, Activation",General system context,High priority upstream dependency,Confirmed,Important for DMS-7_DRIVER_GAZE_ESTIMATION testcase activation,SRS Export/SRS Export/SRS_Diagnostics/A2B_Network_2_-_Master_to_Sub_0_-_Defective_node_or_wrong_software_parameter_(0xD82094)/
