Image Path,Image Name,Ground Truth Category,Notes,CLIP Predicted Category,CLIP Confidence,CLIP Description,Correct/Incorrect,Timestamp
static/VEH-F025_Cruise_Control_Lamp_Management/image77.png,image77.png,CONFIGURATION TABLES,,TABLE WITH TELLTALES,Medium,CLIP classification: table containing embedded telltale icons inside cells (score: 0.581),Incorrect,2026-02-16 11:39:53
static/VEH-F001_Immobilizer/image2.png,image2.png,"CONFIGURATION TABLES
",,TABLE WITH TELLTALES,Medium,CLIP classification: table containing embedded telltale icons inside cells (score: 0.682),Incorrect,2026-02-16 11:39:54
static/VEH-F006_Low_Voltage_Battery_Indication/image3.png,image3.png,TELLTALE ICONS & INDICATORS,,TELLTALE ICONS & INDICATORS,High,"CLIP classification: Single automotive warning icons or symbols on plain backgrounds. Individual telltale lights like battery, oil, temperature warnings. Simple monochrome or colored icons without complex layouts. Usually small images under 150x150 pixels showing one primary symbol. (score: 0.916)",Correct,2026-02-16 11:39:54
static/VEH-F020_Speedometer/image5.png,image5.png,HMI DISPLAY LAYOUTS,,TELLTALE ICONS & INDICATORS,High,"CLIP classification: Single automotive warning icons or symbols on plain backgrounds. Individual telltale lights like battery, oil, temperature warnings. Simple monochrome or colored icons without complex layouts. Usually small images under 150x150 pixels showing one primary symbol. (score: 0.801)",Incorrect,2026-02-16 11:39:55
static/VEH-F020_Speedometer/image6.png,image6.png,HMI DISPLAY LAYOUTS,,TELLTALE ICONS & INDICATORS,High,"CLIP classification: Single automotive warning icons or symbols on plain backgrounds. Individual telltale lights like battery, oil, temperature warnings. Simple monochrome or colored icons without complex layouts. Usually small images under 150x150 pixels showing one primary symbol. (score: 0.737)",Incorrect,2026-02-16 11:39:56
static/VEH-F020_Speedometer/image7.png,image7.png,HMI DISPLAY LAYOUTS,,TELLTALE ICONS & INDICATORS,High,"CLIP classification: Single automotive warning icons or symbols on plain backgrounds. Individual telltale lights like battery, oil, temperature warnings. Simple monochrome or colored icons without complex layouts. Usually small images under 150x150 pixels showing one primary symbol. (score: 0.817)",Incorrect,2026-02-16 11:39:57
static/VEH-F023_Total_Odometer/image8.png,image8.png,CONFIGURATION TABLES,,TABLE WITH TELLTALES,Medium,CLIP classification: table containing embedded telltale icons inside cells (score: 0.595),Incorrect,2026-02-16 11:39:57
static/VEH-F024_Range_Estimation/image209.png,image209.png,CONFIGURATION TABLES,,TABLE WITH TELLTALES,Medium,CLIP classification: table containing embedded telltale icons inside cells (score: 0.461),Incorrect,2026-02-16 11:39:58
static/VEH-F024_Range_Estimation/image211.png,image211.png,TELLTALE ICONS & INDICATORS,,TELLTALE ICONS & INDICATORS,High,"CLIP classification: Single automotive warning icons or symbols on plain backgrounds. Individual telltale lights like battery, oil, temperature warnings. Simple monochrome or colored icons without complex layouts. Usually small images under 150x150 pixels showing one primary symbol. (score: 0.999)",Correct,2026-02-16 11:39:58
static/VEH-F025_Cruise_Control_Lamp_Management/image76.png,image76.png,TELLTALE ICONS & INDICATORS,,TELLTALE ICONS & INDICATORS,High,"CLIP classification: Single automotive warning icons or symbols on plain backgrounds. Individual telltale lights like battery, oil, temperature warnings. Simple monochrome or colored icons without complex layouts. Usually small images under 150x150 pixels showing one primary symbol. (score: 0.881)",Correct,2026-02-16 11:39:59
static/VEH-F001_Immobilizer/image1.png,image1.png,TELLTALE ICONS & INDICATORS,,TELLTALE ICONS & INDICATORS,High,"CLIP classification: Single automotive warning icons or symbols on plain backgrounds. Individual telltale lights like battery, oil, temperature warnings. Simple monochrome or colored icons without complex layouts. Usually small images under 150x150 pixels showing one primary symbol. (score: 0.997)",Correct,2026-02-16 11:39:59
static/VEH-F042_Low_Beam_Lights/image21.png,image21.png,TELLTALE ICONS & INDICATORS,,TELLTALE ICONS & INDICATORS,High,"CLIP classification: Single automotive warning icons or symbols on plain backgrounds. Individual telltale lights like battery, oil, temperature warnings. Simple monochrome or colored icons without complex layouts. Usually small images under 150x150 pixels showing one primary symbol. (score: 0.941)",Correct,2026-02-16 11:40:00
static/VEH-F140_Unfastened_Seat_Belts_Signalling/image32.png,image32.png,TABLE + TELLTALES,,TABLE WITH TELLTALES,Medium,CLIP classification: table containing embedded telltale icons inside cells (score: 0.493),Correct,2026-02-16 11:40:00
static/VEH-F024_Range_Estimation/image210.png,image210.png,TABLE + TELLTALES,,TABLE WITH TELLTALES,High,CLIP classification: table containing embedded telltale icons inside cells (score: 0.929),Correct,2026-02-16 11:40:01
static/VEH-F025_Cruise_Control_Lamp_Management/image75.png,image75.png,TABLE + TELLTALES,,TABLE WITH TELLTALES,High,CLIP classification: table containing embedded telltale icons inside cells (score: 0.808),Correct,2026-02-16 11:40:02
static/VEH-F175_Visualization_of_Vehicle_Performance/image58.png,image58.png,HMI DISPLAY LAYOUTS,,TELLTALE ICONS & INDICATORS,High,"CLIP classification: Single automotive warning icons or symbols on plain backgrounds. Individual telltale lights like battery, oil, temperature warnings. Simple monochrome or colored icons without complex layouts. Usually small images under 150x150 pixels showing one primary symbol. (score: 0.957)",Incorrect,2026-02-16 11:40:02
Pre-FineTuneLearning Model/SRS FPI export/SRS_HMI Software/PRK-4_RVCS_Failure_management/image116.png,image116.png,SYSTEM ARCHITECTURE,,SYSTEM ARCHITECTURE DIAGRAMS,High,"CLIP classification: Block diagrams showing system components as rectangular boxes, modules, subsystems, and their interconnections. Hierarchical layouts with labeled components like ECUs, controllers, sensors. Shows overall system structure and data/communication paths between hardware/software modules. (score: 0.871)",Incorrect,2026-02-16 11:40:03
Pre-FineTuneLearning Model/SRS FPI export/SRS_System Architecture/F834_Vf8_R5_VehicleNotInUse_PI_6/image13.png,image13.png,SYSTEM ARCHITECTURE,,SYSTEM ARCHITECTURE DIAGRAMS,High,"CLIP classification: Block diagrams showing system components as rectangular boxes, modules, subsystems, and their interconnections. Hierarchical layouts with labeled components like ECUs, controllers, sensors. Shows overall system structure and data/communication paths between hardware/software modules. (score: 0.729)",Incorrect,2026-02-16 11:40:03
Pre-FineTuneLearning Model/SRS FPI export/SRS_Audio/VAS-1_A_AVAS_Management/image146.png,image146.png,MULTI-CONDITION LOGIC TABLES,,STATE FLOW DIAGRAMS,Medium,"CLIP classification: State machine diagrams with circular or oval states connected by labeled transition arrows. Shows sequential state changes, conditions, triggers, and decision points. Includes start/end states and conditional transitions between different operational states. (score: 0.631)",Incorrect,2026-02-16 11:40:04
static/VEH-F844_Matrix_State_Events/image64.png,image64.png,SYSTEM ARCHITECTURE,,SYSTEM ARCHITECTURE DIAGRAMS,High,"CLIP classification: Block diagrams showing system components as rectangular boxes, modules, subsystems, and their interconnections. Hierarchical layouts with labeled components like ECUs, controllers, sensors. Shows overall system structure and data/communication paths between hardware/software modules. (score: 0.935)",Incorrect,2026-02-16 11:40:04
Pre-FineTuneLearning Model/SRS FPI export/SRS_HMI Software/PRK-0__Obstacle_Proximity_Signalling_Management/image84.png,image84.png,FLOWCHART DIAGRAMS,,FLOWCHART DIAGRAMS,High,CLIP classification: process flowchart with steps and decision diamonds (score: 0.891),Correct,2026-02-16 11:40:05
SRS FPI Export/SRS_Instrument Cluster/VEH-F040_Key_Status/image15.png,image15.png,STATE FLOW DIAGRAMS,,STATE FLOW DIAGRAMS,High,"CLIP classification: State machine diagrams with circular or oval states connected by labeled transition arrows. Shows sequential state changes, conditions, triggers, and decision points. Includes start/end states and conditional transitions between different operational states. (score: 0.941)",Correct,2026-02-16 11:40:05
