Image Path,Filename,Ground_Truth_Category,Notes,Updated_CLIP_Category,Updated_CLIP_Confidence,Updated_CLIP_Description,Classification_Correct,Timestamp
Pre-FineTuneLearning Model\SRS FPI export\SRS_Audio\FAD-0_Audio_Source_Definition_&_Channel Allocation_Audio_Streams\image104.png,image104.png,,,CONFIGURATION TABLES,High,CLIP classification: Structured data tables with clear rows and columns. Technical parameters organized in grid format. Signal configuration information with labeled headers. Text-heavy tables containing automotive system parameters and settings. (score: 0.910),CORRECT,2026-02-13 15:11:19
Pre-FineTuneLearning Model\SRS FPI export\SRS_Tuner\RAD-34_HD_Radio_PSDProgram_Info\image13.png,image13.png,,,CONFIGURATION TABLES,Medium,CLIP classification: Structured data tables with clear rows and columns. Technical parameters organized in grid format. Signal configuration information with labeled headers. Text-heavy tables containing automotive system parameters and settings. (score: 0.643),CORRECT,2026-02-13 15:11:20
Pre-FineTuneLearning Model\SRS FPI export\SRS_Navigation\Navigator-related_TSR_information's_published_by_IDC\image1.png,image1.png,,,CONFIGURATION TABLES,Medium,CLIP classification: Structured data tables with clear rows and columns. Technical parameters organized in grid format. Signal configuration information with labeled headers. Text-heavy tables containing automotive system parameters and settings. (score: 0.558),CORRECT,2026-02-13 15:11:21
Pre-FineTuneLearning Model\SRS FPI export\SRS_Navigation\MAP-7_Map_License_Management\image3.png,image3.png,,,CONFIGURATION TABLES,High,CLIP classification: Structured data tables with clear rows and columns. Technical parameters organized in grid format. Signal configuration information with labeled headers. Text-heavy tables containing automotive system parameters and settings. (score: 0.991),CORRECT,2026-02-13 15:11:23
Pre-FineTuneLearning Model\SRS FPI export\SRS_HMI Software\PRK-0_Elements_Visualized_for_Parking_system_with_Surround_view\image75.png,image75.png,TELLTALE ,,TABLE + TELLTALES,Low,CLIP classification: Hybrid diagrams combining structured tables with embedded visual indicators. Tables containing telltale symbols and icons. Structured data with integrated warning lights or status indicators. Reference tables with visual elements. (score: 0.185),WRONG,2026-02-13 15:11:24
SRS FPI Export\SRS_Instrument Cluster\VEH-F179_Obstacles_Proximity_Signalling\image59.png,image59.png,,,TECHNICAL SPECIFICATIONS,Medium,CLIP classification: Detailed technical parameter documentation with measurements and values. Performance specifications with numerical data. Technical requirements documents with detailed parameters. Engineering specifications with precise values. (score: 0.575),CORRECT,2026-02-13 15:11:25
Pre-FineTuneLearning Model\SRS FPI export\SRS_HMI Software\AUS-6_VIP\image13.png,image13.png,,,TELLTALE ICONS & INDICATORS,Medium,"CLIP classification: Automotive dashboard warning lights and indicator symbols. Single colored icons on solid backgrounds. Car status symbols like immobilizer, battery, headlights, or turn signals. Simple, high-contrast graphical elements with minimal text. Usually picture size is below 150x150 pixels (score: 0.663)",CORRECT,2026-02-13 15:11:27
Pre-FineTuneLearning Model\SRS FPI export\SRS_HMI Software\VFI-F813_HVB_Recharge_Indications\image48.png,image48.png,TECHNICAL SPEC,,CONFIGURATION TABLES,High,CLIP classification: Structured data tables with clear rows and columns. Technical parameters organized in grid format. Signal configuration information with labeled headers. Text-heavy tables containing automotive system parameters and settings. (score: 0.838),WRONG,2026-02-13 15:11:28
Pre-FineTuneLearning Model\SRS FPI export\SRS_System Architecture\Clock_Area_related_information\image8.png,image8.png,TABLE + TELLTALES,,TABLE + TELLTALES,Medium,CLIP classification: Hybrid diagrams combining structured tables with embedded visual indicators. Tables containing telltale symbols and icons. Structured data with integrated warning lights or status indicators. Reference tables with visual elements. (score: 0.548),CORRECT,2026-02-13 15:11:29
Pre-FineTuneLearning Model\SRS FPI export\SRS_System Architecture\Smart_USB_-_C\image4.png,image4.png,OTHERS,,TIMING DIAGRAMS,Medium,CLIP classification: Signal sequence charts showing waveforms over time. Communication protocol timing with signal transitions. Time-based signal representations with multiple channels. Temporal diagrams showing signal relationships and synchronization. (score: 0.404),WRONG,2026-02-13 15:11:31
