Image Path,Filename,Ground_Truth_Category,Notes,Original CLIP Category,Original CLIP Confidence,Original CLIP Description
static/VEH-F025_Cruise_Control_Lamp_Management/image77.png,image77.png,CONFIGURATION TABLES,,CONFIGURATION TABLES,Medium,"CLIP classification: a technical table with rows and columns showing data, parameters or specifications (score: 0.572)"
static/VEH-F001_Immobilizer/image2.png,image2.png,"CONFIGURATION TABLES
",,TABLE + TELLTALES,High,CLIP classification: a structured table with embedded visual indicators and telltale symbols (score: 0.793)
static/VEH-F006_Low_Voltage_Battery_Indication/image3.png,image3.png,TELLTALE ICONS & INDICATORS,,TELLTALE ICONS & INDICATORS,High,"CLIP classification: automotive telltale symbols, dashboard warning lights and status indicators (score: 0.866)"
static/VEH-F020_Speedometer/image5.png,image5.png,HMI DISPLAY LAYOUTS,,HMI DISPLAY LAYOUTS,High,"CLIP classification: a complete instrument cluster display interface, dashboard layouts, gauge clusters, UI wireframes, screen designs (score: 0.970)"
static/VEH-F020_Speedometer/image6.png,image6.png,HMI DISPLAY LAYOUTS,,HMI DISPLAY LAYOUTS,High,"CLIP classification: a complete instrument cluster display interface, dashboard layouts, gauge clusters, UI wireframes, screen designs (score: 0.937)"
static/VEH-F020_Speedometer/image7.png,image7.png,HMI DISPLAY LAYOUTS,,HMI DISPLAY LAYOUTS,High,"CLIP classification: a complete instrument cluster display interface, dashboard layouts, gauge clusters, UI wireframes, screen designs (score: 0.876)"
static/VEH-F023_Total_Odometer/image8.png,image8.png,CONFIGURATION TABLES,,MULTI-CONDITION LOGIC TABLES,Medium,CLIP classification: a complex table with AND/OR conditional relationships and decision logic (score: 0.435)
static/VEH-F024_Range_Estimation/image209.png,image209.png,CONFIGURATION TABLES,,CONFIGURATION TABLES,Medium,"CLIP classification: a technical table with rows and columns showing data, parameters or specifications (score: 0.498)"
static/VEH-F024_Range_Estimation/image211.png,image211.png,TELLTALE ICONS & INDICATORS,,TELLTALE ICONS & INDICATORS,High,"CLIP classification: automotive telltale symbols, dashboard warning lights and status indicators (score: 0.957)"
static/VEH-F025_Cruise_Control_Lamp_Management/image76.png,image76.png,TELLTALE ICONS & INDICATORS,,TELLTALE ICONS & INDICATORS,High,"CLIP classification: automotive telltale symbols, dashboard warning lights and status indicators (score: 0.966)"
static/VEH-F001_Immobilizer/image1.png,image1.png,TELLTALE ICONS & INDICATORS,,TELLTALE ICONS & INDICATORS,High,"CLIP classification: automotive telltale symbols, dashboard warning lights and status indicators (score: 0.973)"
static/VEH-F042_Low_Beam_Lights/image21.png,image21.png,TELLTALE ICONS & INDICATORS,,TELLTALE ICONS & INDICATORS,High,"CLIP classification: automotive telltale symbols, dashboard warning lights and status indicators (score: 0.903)"
static/VEH-F140_Unfastened_Seat_Belts_Signalling/image32.png,image32.png,TABLE + TELLTALES,,TABLE + TELLTALES,Medium,CLIP classification: a structured table with embedded visual indicators and telltale symbols (score: 0.484)
static/VEH-F024_Range_Estimation/image210.png,image210.png,TABLE + TELLTALES,,TABLE + TELLTALES,Medium,CLIP classification: a structured table with embedded visual indicators and telltale symbols (score: 0.636)
static/VEH-F025_Cruise_Control_Lamp_Management/image75.png,image75.png,TABLE + TELLTALES,,TABLE + TELLTALES,High,CLIP classification: a structured table with embedded visual indicators and telltale symbols (score: 0.714)
static/VEH-F175_Visualization_of_Vehicle_Performance/image58.png,image58.png,HMI DISPLAY LAYOUTS,,HMI DISPLAY LAYOUTS,High,"CLIP classification: a complete instrument cluster display interface, dashboard layouts, gauge clusters, UI wireframes, screen designs (score: 0.828)"
Pre-FineTuneLearning Model/SRS FPI export/SRS_HMI Software/PRK-4_RVCS_Failure_management/image116.png,image116.png,WIRING & SIGNAL DIAGRAMS,,WIRING & SIGNAL DIAGRAMS,Medium,"CLIP classification: electrical connections, signal routing and wiring documentation (score: 0.494)"
Pre-FineTuneLearning Model/SRS FPI export/SRS_System Architecture/F834_Vf8_R5_VehicleNotInUse_PI_6/image13.png,image13.png,TECHNICAL SPECIFICATIONS,,TECHNICAL SPECIFICATIONS,Medium,CLIP classification: technical parameter documentation with performance characteristics and specifications (score: 0.453)
Pre-FineTuneLearning Model/SRS FPI export/SRS_Audio/VAS-1_A_AVAS_Management/image146.png,image146.png,MULTI-CONDITION LOGIC TABLES,,MULTI-CONDITION LOGIC TABLES,Low,CLIP classification: a complex table with AND/OR conditional relationships and decision logic (score: 0.231)
static/VEH-F844_Matrix_State_Events/image64.png,image64.png,SYSTEM ARCHITECTURE,,WIRING & SIGNAL DIAGRAMS,Medium,"CLIP classification: electrical connections, signal routing and wiring documentation (score: 0.446)"
Pre-FineTuneLearning Model/SRS FPI export/SRS_HMI Software/PRK-0__Obstacle_Proximity_Signalling_Management/image84.png,image84.png,PROCESS FLOW DIAGRAMS,,PROCESS FLOW DIAGRAMS,High,CLIP classification: a workflow or process diagram with flowchart symbols showing sequential processes and decision trees (score: 0.830)
SRS FPI Export/SRS_Instrument Cluster/VEH-F040_Key_Status/image15.png,image15.png,PROCESS FLOW DIAGRAMS,,PROCESS FLOW DIAGRAMS,Medium,CLIP classification: a workflow or process diagram with flowchart symbols showing sequential processes and decision trees (score: 0.670)
Pre-FineTuneLearning Model/SRS FPI export/SRS_DMS/DMS-7_DRIVER_GAZE_ESTIMATION/image4.png,image4.png,TECHNICAL SPECIFICATIONS,,WIRING & SIGNAL DIAGRAMS,Medium,"CLIP classification: electrical connections, signal routing and wiring documentation (score: 0.537)"
Pre-FineTuneLearning Model/SRS FPI export/SRS_Diagnostics/Display_test_selective_($5036)/image60.png,image60.png,TECHNICAL SPECIFICATIONS,,TABLE + TELLTALES,Low,CLIP classification: a structured table with embedded visual indicators and telltale symbols (score: 0.270)
SRS FPI Export/SRS_Instrument Cluster/VEH-F804_High_Voltage_Battery/image185.png,image185.png,TIMING DIAGRAMS,,STATE EVENT MATRICES,Medium,CLIP classification: a state matrix diagram with grid pattern showing state transitions and input/output relationships (score: 0.573)
SRS FPI Export/SRS_Instrument Cluster/VEH-F006_Low_Voltage_Battery_Indication/image4.png,image4.png,TIMING DIAGRAMS,,TIMING DIAGRAMS,Low,"CLIP classification: a timing diagram showing signal timing sequences, waveforms and protocol timing (score: 0.211)"
