Main_FPI,Related_FPI,Score,Direction,Necessity,Context_Usage,Extracted_Context_From_Related_FPI,Why_It_Is_Needed_For_Testcase_Generation,Confidence,Evidence
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/2xA2B_Audio_Layout/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/A2B_Audio_Layout/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/AUD-0_Audio_System_Introduction/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/AUD-1_Audio_System_State_Machine/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/Audio_&_Sound_processing/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/Audio_Components/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/Audio_Layout/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/Base_Audio_Layout_(nice_to_have)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/Early_Audio_Requirements/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-0_Audio_Source_Definition_&_ChannelÂ Allocation_Audio_Streams/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-0_Ferrari_Audio_Director_Introduction/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-0__Audio_Source_Definition_&_ChannelÂ Allocation_Audio_Streams/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-0_Â Audio_Channels_Definition/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-0_Â Audio_Source_Definition_&Â Channels_Allocation/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-0_Â Audio_Stream_Interfaces/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-0Â Audio_Channels_Definition/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-0Â Audio_Source_Definition_&Â Channels_Allocation/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-0Â Audio_Stream_Interfaces/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-1_Audio_Channels_Interaction/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-2_Audio_Channels_Control/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-2_Audio_Channels_Control_-_Min_Switch-On_Volume/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-7_Flat_Audio_Calibration/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/Hybrid_Audio_Layout_(nice_to_have)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/IOCÂ Audio_System_State_Machine/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/Media_Sources/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/Navigation_and_Traffic_announcement_Sources/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Connectivity/Bluetooth_chipset(controller)_requirements/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Connectivity/Bluetooth_Core/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Connectivity/Bluetooth_Link_Control/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Connectivity/General_Apple_device_connectivity/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Connectivity/PHN-5_Bluetooth_Device_Information/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Connectivity/WiFi_Certification/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Bluetooth_Devices/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Bluetooth_MAC-address_(Bluetooth_Device_Adress)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Calibrazione_GPS/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Connected_Bluetooth_Devices/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Connected_Bluetooth_device_1/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Coupled_Bluetooth_Devices/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Flat_Audio_Calibration_($0529)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
