Main_FPI,Related_FPI,Score,Direction,Necessity,Context_Usage,Extracted_Context_From_Related_FPI,Why_It_Is_Needed_For_Testcase_Generation,Confidence,Evidence,Feature_Path
VFI-F164_Energy_Manettino,AUD-2_A2B_Network_2_configuration_via_diagnostics,-1,Upstream,Low,Constraint,General system context,Optional upstream dependency,Probable,Supporting context for VFI-F164_Energy_Manettino testcase,SRS Export/SRS Export/SRS_Audio/AUD-2_A2B_Network_2_configuration_via_diagnostics/
VFI-F164_Energy_Manettino,AUD-6_Energy_Profile_Management,3,Downstream,Critical,"ExpectedResult, Verification","Energy mode selection (COMFORT, SPORT, RACE, ESC_OFF); Energy management system control and optimization",Critical downstream dependency for verification,Confirmed,AUD-6_Energy_Profile_Management testcase requires VFI-F164_Energy_Manettino context for verification,SRS Export/SRS Export/SRS_Audio/AUD-6_Energy_Profile_Management/
VFI-F164_Energy_Manettino,AVAS_1_AVAS_switch_off_speed_configuration_via_Diagnostics,-1,Upstream,Low,Constraint,General system context,Optional upstream dependency,Probable,Supporting context for VFI-F164_Energy_Manettino testcase,SRS Export/SRS Export/SRS_Audio/AVAS_1_AVAS_switch_off_speed_configuration_via_Diagnostics/
VFI-F164_Energy_Manettino,Diagnostics_Test_Tone_Generator,-1,Upstream,Low,Constraint,General system context,Optional upstream dependency,Probable,Supporting context for VFI-F164_Energy_Manettino testcase,SRS Export/SRS Export/SRS_Audio/Diagnostics_Test_Tone_Generator/
VFI-F164_Energy_Manettino,ESE-1_ESE_BEV_Management_Diagnostics,-1,Upstream,Low,Constraint,General system context,Optional upstream dependency,Probable,Supporting context for VFI-F164_Energy_Manettino testcase,SRS Export/SRS Export/SRS_Audio/ESE-1_ESE_BEV_Management_Diagnostics/
VFI-F164_Energy_Manettino,ESE_1_ESE_BEV Energy_Profile_Management,3,Downstream,Critical,"ExpectedResult, Verification","Energy mode selection (COMFORT, SPORT, RACE, ESC_OFF); Energy management system control and optimization",Critical downstream dependency for verification,Confirmed,ESE_1_ESE_BEV Energy_Profile_Management testcase requires VFI-F164_Energy_Manettino context for verification,SRS Export/SRS Export/SRS_Audio/ESE_1_ESE_BEV Energy_Profile_Management/
VFI-F164_Energy_Manettino,Speech_Dialog_and_Readout_Sources,1,Downstream,Low,FailureCheck,General energy mode context,Optional downstream dependency,Probable,Speech_Dialog_and_Readout_Sources testcase optionally uses VFI-F164_Energy_Manettino context,SRS Export/SRS Export/SRS_Audio/Speech_Dialog_and_Readout_Sources/
VFI-F164_Energy_Manettino,Power_Management,-3,Upstream,Critical,"Precondition, Setup",Power state and voltage requirements for E-Manettino,Critical upstream dependency for testcase preconditions,Confirmed,Required for VFI-F164_Energy_Manettino testcase setup,SRS Export/SRS Export/SRS_Connectivity/Power_Management/
VFI-F164_Energy_Manettino,Authenticated_Diagnostics_-_Active_Roles,-1,Upstream,Low,Constraint,General system context,Optional upstream dependency,Probable,Supporting context for VFI-F164_Energy_Manettino testcase,SRS Export/SRS Export/SRS_Diagnostics/Authenticated_Diagnostics_-_Active_Roles/
VFI-F164_Energy_Manettino,Authenticated_Diagnostics_-_Disallowed_Certificate_List,-1,Upstream,Low,Constraint,General system context,Optional upstream dependency,Probable,Supporting context for VFI-F164_Energy_Manettino testcase,SRS Export/SRS Export/SRS_Diagnostics/Authenticated_Diagnostics_-_Disallowed_Certificate_List/
VFI-F164_Energy_Manettino,Authenticated_Diagnostics_-_Previous_Access,-1,Upstream,Low,Constraint,General system context,Optional upstream dependency,Probable,Supporting context for VFI-F164_Energy_Manettino testcase,SRS Export/SRS Export/SRS_Diagnostics/Authenticated_Diagnostics_-_Previous_Access/
VFI-F164_Energy_Manettino,"Control_Unit_-_High_temperature_(0x910C,_0x4B)",-1,Upstream,Low,Constraint,General system context,Optional upstream dependency,Probable,Supporting context for VFI-F164_Energy_Manettino testcase,"SRS Export/SRS Export/SRS_Diagnostics/Control_Unit_-_High_temperature_(0x910C,_0x4B)/"
VFI-F164_Energy_Manettino,"Control_Unit_- Low_temperature_(0x920C,_0x4B)",-1,Upstream,Low,Constraint,General system context,Optional upstream dependency,Probable,Supporting context for VFI-F164_Energy_Manettino testcase,"SRS Export/SRS Export/SRS_Diagnostics/Control_Unit_- Low_temperature_(0x920C,_0x4B)/"
VFI-F164_Energy_Manettino,Control_unit_internal_temperature_sensor_2,-1,Upstream,Low,Constraint,General system context,Optional upstream dependency,Probable,Supporting context for VFI-F164_Energy_Manettino testcase,SRS Export/SRS Export/SRS_Diagnostics/Control_unit_internal_temperature_sensor_2/
VFI-F164_Energy_Manettino,Diagnostics,-1,Upstream,Low,Constraint,General system context,Optional upstream dependency,Probable,Supporting context for VFI-F164_Energy_Manettino testcase,SRS Export/SRS Export/SRS_Diagnostics/Diagnostics/
